,titles,category
0, 속보 이재명   윤석열 한동훈 화재현장 방문 절규하는 국민 앞에서 정치쇼 ,Politics
1,이준석  양향자 한국의희망과 개혁신당 사실상 합당 선언 ,Politics
2, 이언주에 복당 권유한 이재명  실익은  ,Politics
3,한동훈  사퇴 방어로  홀로서기  일부 성과 갈등 불씨 남아,Politics
4,김정은  대사변 준비  이후  도발수위 계속 높이는 북한,Politics
5,당적 밥먹듯 바꾼 이언주  민주당 복당땐   번째 ,Politics
6,정동영  민주당 탈당파 호남 상륙 안돼 민주벨트 형성해 대응 ,Politics
7,김웅  김건희 불쌍하게 보이는 방법밖엔 사저나 외국 나가야 ,Politics
8, 친윤  이용에 불쾌감 표한   이상민  그분이   대변하나  직책도 없어 ,Politics
9,윤 한 저격 민주당  본질은 김 여사 죗값 치르는 것  정치쇼 변명 안 돼 ,Politics
10,한동훈  김 여사 질문에  제 생각 충분히 말씀드렸다 ,Politics
11, 김미경의 정치네컷  한동훈의  폴더인사   윤석열의  어깨 툭  극적화해  약속대련 ,Politics
12, 뉴스포커스  화재현장 동행한 윤대통령 한동훈 갈등 불씨는 여전,Politics
13,대만 야당  판도 변화  입지 좁아진 국민당    기선잡은 민중당,Politics
14,김건희 문제 입장 밝혀야      기자회견 열어야    ,Politics
15,김경율 사퇴가 출구전략  한동훈  그런 말 들은 바 없다 ,Politics
16,이준석  나는 정공법 썼지만   한동훈은 어설픈 봉합 ,Politics
17,국민의힘 전현직 국회의원 의정부갑 출사표 종합 ,Politics
18,불출마 김웅  김 여사  사저 가거나 해외로 나가라 ,Politics
19,이재명  윤 한  서천 봉합 에  그곳에서 정치쇼  역사에 남을 것 ,Politics
20,국힘 혼란할 때면 두더지처럼 쑥쑥 튀어나와 분란 부채질하는 사람들  기자  시 ,Politics
21,응답자      김건희 여사  명품 가방  논란  대통령이 직접 입장 밝혀야 ,Politics
22,윤석열 향한 한동훈의   도 인사 갈등 봉합  돌고 돌아 민주당 가는 이언주,Politics
23, 뉴스라이브  조응천  수박 나가니 이젠 멜론 압박 ,Politics
24,   예비군 동원훈련  년  년 보상비   만원 주겠다 ,Politics
25,윤석열    한동훈  지금은 예고편에 불과 본편은 공천 싸움 ,Politics
26,민주 총선  공약 발표  사병 휴대전화 요금 할인비율    로 ,Politics
27,용산 자극 피하려  한동훈  김건희 김경율 관련 입장 묻자  침묵 ,Politics
28,     당직비 인상 사병 전화요금 절반 할인 동원훈련 단축 ,Politics
29,     절반의 화해   김여사 김경율 민심  불씨 남아,Politics
30,이재명  대통령  절규하는 피해 국민 배경으로 정치쇼 ,Politics
31,유권자         김건희 문제에 입장 밝혀야   엠브레인퍼블릭 ,Politics
32, 뉴스       한동훈  총선 승리 다짐  함께 가면 길이 됩니다 ,Politics
33,김무성  김건희 직접 나설 필요 없다 김경율 사퇴해야 ,Politics
34,이상민  김경율  지금 그만두면 입 틀어막는 것 당에도 역효과 ,Politics
35,윤석열 입은 점퍼  한동훈과 특검 때 함께 입던 옷    녹취록 ,Politics
36,이인제   이재명   우리 북한  작심하고 한 말 ,Politics
37,이준석  한동훈  삼일천하 도 안돼 어설픈 봉합으로 진퇴양난 ,Politics
38,시민      윤 대통령  김건희 관련 입장표명해야 ,Politics
39,  대변인   윤 한 갈등  없었다 의사소통의 일시적 교란 정도 ,Politics
40,추미애     임종석 노영민에  정치적 양심 실종 ,Politics
41, 폴더인사  챙기고  상인 분노  남긴 현장 방문 영상 ,Politics
42,합참  북한  서해 일대에서 순항미사일 여러 발 발사  종합 ,Politics
43,이준석 허은아  윤 한 어설픈 봉합  역시나 약속대련 ,Politics
44, 노무현과 윤석열의  거부권   근본이 다르다 ,Politics
45,합참     서해 일대에서 순항미사일 여러 발 발사  화살    형에 무게,Politics
46,  공관위원장      갈등봉합에  굿뉴스  김경율 전략공천 가능성도,Politics
47,금태섭     한동훈 비판 전 본인들부터  유권자 공감 얻기 어려워 ,Politics
48,   서해 일대에서 순항미사일 수발 쏴       추가 징후 주시   종합 ,Politics
49,김웅  김 여사  사저 가거나 외국 나가는 정도 방법 취해야 ,Politics
50,미래 권력에 줄 서나   친윤 의 침묵,Politics
51,   해일 시험 닷새 만에 순항미사일 쏴 올해  번째 도발 일지 ,Politics
52, 반윤 이면  반문 도 좋다 민주당 계파갈등 자극하는 이언주 복당 논란,Politics
53,   이번엔 순항미사일 도발  서해 일대서 여러 발 발사 ,Politics
54,중대재해법        유예 마지막까지 최선        산안청 수용해야 ,Politics
55,이재명  절규하는 국민 앞에서 정치쇼  야   윤 한 화해  이틀째 맹폭,Politics
56,이재명  재난현장 배경으로 정치쇼 역사에 남을 사건 ,Politics
57,   이번엔 서해상으로 순항미사일 발사     추가활동 주시 중  종합 ,Politics
58,      년부터 풍계리 핵실험장 건설 추정  비밀 해제  위성사진 공개,Politics
59,대통령실  김경율  말 안하고 한동훈  김 여사  답변     ,Politics
60, 그냥 가면 뭐하러 오신 거야  상인들 분노    정치쇼 이용 ,Politics
61,민주  윤 한  화재 현장서  갈등 봉합쇼  재난을 장식품으로 활용 ,Politics
62,김웅  김건희 명품백  해결책은 과거       복기 납작 엎드려야 ,Politics
63,김경율  사퇴 의사 없다 김 여사 명품백 입장은 밝혀야 ,Politics
64,부산  개 지역구 전략공천  원외 정치신인들 전전긍긍,Politics
65,    갈등은 봉합     김건희 리스크 는 여전  우려,Politics
66, 전격시사  김근식    한동훈  서둘러 봉합 한동훈 판정승   김준일    한동훈  윈 윈 아닌 루즈 루즈 게임 ,Politics
67,   해외 나가야  주장까지 국민의힘   김건희 리스크  여진,Politics
68, 연합뉴스 이 시각 헤드라인         ,Politics
69,    에르메스백 과  김건희 디올백  이 다른 이유,Politics
70,김남국  햄버거집서 소개팅 비싸서 하나 나눠먹었다 ,Politics
71,국민의힘 공관위  전략공천   곳까지     주호영 감점 제외  등 이의신청은 결론 못 내,Politics
72, 다 진 게임 김건희 여사  사저나 외국 나가야 국면 전환 ,Politics
73,이재명  서천시장 봉합쇼  수해 현장서 사진 타령하던 장면 떠올라 ,Politics
74, 의전이냐   배짱 부족    향한    폴더 인사  비판하는 정치권,Politics
75, 속보  합참  북한  서해로 순항미사일 여러 발 발사 ,Politics
76,속도 붙는 제  지대 빅텐트 이준석 양향자 먼저,Politics
77,봉합열차 탄     명품백 사천 논란  갈등 불씨  여전  이런정치 ,Politics
78,한동훈  김 여사 질문에  이미 충분히 말해    김경률 사퇴  들은 바 없어 ,Politics
79,원희룡   김건희 명품백 논란   국민 납득할 수 있게 풀긴 풀어야 ,Politics
80, 김경율 사퇴로 출구  김여사는   쏟아진 질문에 말 아낀 한동훈  현장영상 ,Politics
81,한동훈   김여사 관련 입장 바뀌었나  질문에  제 생각 충분히 말씀드렸다 ,Politics
82,대통령의  인신공격  화법  증오 키운다,Politics
83, 열차 같이 탑시다    제안에 한동훈이 보인 반응   녹취록 ,Politics
84, 김 여사 가방 수수  국민      대통령이 입장 밝혀야 ,Politics
85, 전격시사  김무성  이준석 제 신당과 같이 할 생각 전혀 없어 ,Politics
86, 김건희 리스크 에 침묵하는 한동훈  더 말씀드리지 않겠다 ,Politics
87, 일타 박성민   윤 한 충돌 왜  이 졌는가  ,Politics
88,원희룡  명품백 논란    선동 끌려갈 이유 없지만 풀긴 풀어야 ,Politics
89, 속보  합참  북  서해상으로 순항미사일 여러 발 발사 ,Politics
90, 이번 주 안에 결론 내야  제 지대 민주 계열 선통합 가능성,Politics
91,김웅  김건희 여사  사저로 가든지 외국에 나가 있든지 해야 ,Politics
92,한동훈   김경율 사퇴설 에  그런 얘기 들은 바 없다 ,Politics
93, 김건희 리스크  해법 분분  대통령 입장 내야      사과 무의미 ,Politics
94,김무성  김건희  사과문 내고 대통령이 유감의 뜻 표해야 ,Politics
95,윤  같이 타자  한  자리 있습니까  열차 동승해 서울로,Politics
96, 전격시사  금태섭    한동훈 갈등  정당 제도의 근간 무너뜨려 ,Politics
97,이언주  민주당으로 다시 복당   이재명이 제안했다    녹취록 ,Politics
98, 정치쇼  박주민    당무개입 법적 문제 세밀 검토할 것 ,Politics
